output,correct out,translated
efie dotr  ten itodre the nectpan number and kep going and this,"so, if we say fh dot read 10, it will read the next pan number and keep going and this",संख्या को फिर से लागू करना तो हम कैनस क्यों है इसलिए हम कहते हैं कि यह इसलिए है क्योंकि नहीं क्योंकि हमने डब्ल्यू को संपादित किया है
o save is somespace n h longr,will save you some space in the long run.,Lucry क्योंकि es is iecuale di witfo becase नहीं है
ifwe r reding a y lin by line then we may want to now when the yl is endeit,"so, if you are reading a file line by line then we may want to know when the file has","WY यह है कि एक y एक y के बराबर नहीं है, इसलिए हमें मैग मान मिला है कि यह क्यों है"
,ended.,Thes और सबसे लंबे समय तक Mong Thelargist नंबर Reard और Ecie Dag Rstep की व्याख्या
o is if we try to re using the ret comand and we get nothing bak we get an,"so, one is if we try to read using the read command and we get nothing back, we get an",कि यह पुटिंग है
if the return he empty string it means that we are rect,"so, read or readline if they return empty string its means that we have reached the","क्या प्रारंभिक टी में अंतिम मू है, नीचे की तरह नीचे की तरह"
so yt to aes an argument which is string,"so, write takes an argument which is a string.","reais a, लेकिन उस wewud उपयोग के अलावा अन्य के लिए जो n पर शुरू होता है"
so this takes a list of strings and rites them n by  into the i,"so, this takes list of strings and writes them one by one into the file.","और इससे पहले कि वे गॉन नहीं हैं, आप मच और बी एन डी।"
to thefy pounted to bethe fy an an,it to the file pointed to by the file handle.,सामान्य तौर पर शुरू हुआ था एक दस को अंत तक जाना पड़ता है और n से n तक
ort ose,they are flushed.,Letoryis yepuld hd vi तो ay एक blu उन्हें Bontr के baist कैस मिलता है
od wed out to te dist i,copied out to the disk.,हालत तब होती है जब टी व्रिस इम्टिडी का काम करता है यदि y अब उल्का है lvef ify
talso now means that ifacth is now longer asociated withe ile we r delin with,it also now means that fh is no longer associated with the file we are dealing with.,तो wewl indeacee e या nuf के लिए उपयोग करता है m ga हो जाता है हमारे Ga यह mes यह menes कि dtat corpondi
,print.,HEREDSERBECOM CLER लेकिन KE बात PO DAN EMMIK प्रोग्रामिंग एपी के लिए है
,python.,n seotbecos yio go n pas एक लंबाई एक अगर हम paseling नहीं है
in al on to the dist do not wat for ther isits to aquemilate on thil the bufr is ful,"all on to the disk, do not wait for the risk drives to accumulate until the buffer is full",टैन समीकरण से dectoie परिभाषा ई पोरपोसेल हिरण से
and then oit as youl normaly wouldto the dist,and then write as you normally would to the disk.,Induktiv Structur को onderstand करने के लिए ताकि आप to to to id to tae to a provlom iydentify कैसे हो
here is a tipical thing that yo would like to do in python which is to proses it lin b,"here is a typical thing that you would like to do in python, which is to process it line",arthis क्या तीर क्या संकेत दे रहे हैं कि यह किसी भी तरह से बिक्री करने के लिए soal को बेचने के लिए
o fore eache lin that ieretde from the list ininled orderd lins aiy gust rit it to outfite,"so, for each line that i read from the list infile dot readlines i just write it to outfile",isays कि thecaornr andthe वास्तव में नीचे की चीज़ में थेरेइट कोयलोम ओटी करते हैं
nso insir a sayin for each lin in inithes iy can gust riatetd derectly ut,"so, instead of saying for each line in infiles i can just write it directly out.",हम SED RLY कि हम सबसे लंबे समय तक कॉमेन सूबर के लेइंग पर ध्यान केंद्रित कर रहे हैं
soif,annoyance.,हम दुखी हैं कि ar neuettoe thel obectes को सूचीबद्ध करता है
the lin because e in visible to us so the,the line because they are invisible to us.,त्रुटियां और ऑर्डर ऑर्डर में ले जाएं यदि कोई ARARE AERS है और हम किस प्रकार के o r को बेच सकते हैं
se bases and tapbs and ifwher a the end of the lin we do ntnow whether ther ein ends o the last,"spaces and tabs and there at a end of line, we do not know the line ends with the last",हम आम तौर पर सूची और वैल के तर्कों को कहने के लिए फ़ंक्शन परिशिष्ट को प्रभावित करेंगे
starto we se ou ter a spass r,character we see there are spaces after words.,एक Ekes फ़ंक्शन उपस्थिति के लिए एक तर्क है
it wil also sreptha gum there is some spacses and tabs  our thebacsation an,it also strips to other jump there is some spaces and tabs before the backslash n and,पायथन एसटीएच के साथ कैले ऑब्जेक्ट ओरिएंटेड प्रोग्रामिंग क्या है
toun themo,return that.,तो हम वापस या oled उदाहरण lis एक एक y iyve s nd सूची ouis है
wecan also stp from the levf using il strip or we caonsirepon bout sayds if wdgust,we can also strip from the left using l strip or we can strip on both sides if we just say,othe पर और क्योंकि उपयोग किए जाने वाले ब्लस्ट्स क्या हैं डॉन ने एक नई सूची ND बनाई है
nw let s oppein the python interpitor and try to rede lins from this ite nmprntit,"now, let us open the python interpreter and try to read lines from this file and print",OSAY N T [UNK]
no wyis thr tha plang clin which wen ery lin in ourie thats beccause when we wrete lins,"now, why is there blank lines between every line in our file that is because when we readlines",इसलिए हमने संख्या पदों की सूचीबद्ध शब्दों की संरचना को संरक्षित किया था
o the uic brown thefirst lin engi he acktion the o end te ackation,"so, the quick brown, the first line end with the backslash n, fox end with backslash n",मुझे आवश्यकता नहीं है तो यू को ईपीएएन और सर्ंक नहीं करने की अनुमति देता है
this is like geting aces to a bufre from which data from that vial can be red in to memery,this is like getting access to a buffer from which data from that file can read into memory,totherting gacan dousesalie कर्लिस्ट हम एक smoler चीजें डाल सकते हैं
h only way that we can on do this is to start agin by onlosing thef,the only way we can undo this is to start again by closing the files.,तो यह t पर एक एकल sevee bust द्वारा veplaset है
s thi loses tofinde,this closes of the file.,Usingso को सावधान रहना चाहिए कि आप क्या कर रहे हैं अगर ट्रिन को ड्रैक करने के लिए क्या कर रहे हैं
now having opend thes sye handl everiething we do withe yl is actualy don wi,"now, having opened this file handle everything we do with the file is actually done with",एच सूची में एक dets स्लैक्स
tortred lins,f dot readlines for each line.,"ere coman चीजों में से कि o एक सूची को निरस्त करना चाहते हैं, जो कि मैं एक मूल्य है"
nput rt ar as we pore we saed gse wuld open owput dott eg doblu and no we,input dot txt r as before and we say g is equal to open output dot txt w and now we,अब हम उदाहरण के लिए इसका उपयोग कर सकते हैं ताकि हम और OE से पहले अपने सुरक्षित ऑपरेशन को हटा सकें
ow if you lok at the  ins that wek brown ox atetra now forcample sekan,"turn out, if you look at the lines quick brown fox, etcetera, for example, the second line",WRECAL जो हटाता है केवल पहले हाथ को हटा देता है
ind is ust fok fou has thry letdors but if weinclud the bakslatio it s rot  for letrsthe,"is just fox, fox has three letters, but if you include the backslash n its wrote 4 letters.",remewhis
to sorise what we have sen is that if we want to intoeract with firs we do it throu f,"to summarize what we have seen is that, if you want to interact with files we do it through",Fykai विश्वसनीय ene Hero [ONK] विषय पिटिटा पीटा एक एसोसिएशन
s we do not directly trye to rede in ritein the list insted we rit in rede ti from,"so, we do not directly try to read and write from the disk, instead we read and write from",आरोही क्रम में जगह डोर सॉर्ट wih sor tha सूची में hai सूची
memary and the pyl on the dis,the memory and the file on the disk.,हर प्रकार के लिए पायथन
we saow that we have rd red lin and red lins so using this we can ither re the aintir fitl in,"we saw that read, readline and readlines, using this we can read the entire file in",o आपको अलंकरण को देखना होगा और यदि आपको लगता है कि एक फ़ंक्शन होना चाहिए
on short as a strem or red iet lin by lin,one shot of the string or read it line by line.,जो कुछ स्वाभाविक है हम वहाँ होंगे
simlarly we can ither rite a strin ort we can write a list of stringst,"similarly, we can either write a string or we write a list of strings too.",e f ns ae do sel
have erite fromn n aerite lins and rite lins is more corectly to be interpeat s,"so, we have a write command in a writelines and writelines are more correctly to be interpreters",यह कहने के लिए कि वह लॉकिंग I डोफेक्यूमेंटमेंट को लॉक कर रहा है
ebufare by using the fush gomnt and we also sawe that there are some spring operations,buffer by using flush command and we also saw that there are some string operations,"Nasims के पास पायटन में प्रकार नहीं हैं, हम नहीं हैं, एक नाम नाम डॉस पॉप"
with ore prosessing we ned to make shur that al the data that we ae ritaen gous back,with our processing we need to make sure that all the data that we have written goes back.,अयस्क के रूप में
data  wonteid to rite to the il is actualy tacan out to the ofr and put on to the,any data we want to write to the file is actually taken out to the buffer and put on to the,हर बार जब कोई नाम पायथन को यह जानना होगा कि मूल्य क्या है
ist and this is tecnicaly re lushing the bufur,disk and this technically called flushing the buffer.,"कारकों की सूची में y को पेन करने के लिए नहीं, जो वापस लौटेंगे"
thefirst arguoument that you give open is the actual  vya name on yor dis,the first argument that you give open is the actual file name on your disk.,जब यह पहला परिशिष्ट होता है तो केवल पायथन को टेलीपोन करने के लिए इनिशियलाइज़ेशन की आवश्यकता होती है
first part in an ektenton s,first part and an extension.,OT सूची को अनुबंधित करें लेकिन यह कुछ ऐसा है जो हमें Siuol बनाने के लिए किया जाना चाहिए
rolicly whheye ar runing the scrp,or directory where you running the script.,और गाउट करने के लिए उन्हें एक सोल्स एक बहुत ही गस्ट नरोई
so yo can give a fylname which belons to a diferent part of uo r,"so, you can give a file name which belongs to the different part of your directory hierarchy",फ़ंक्शन जमीन के बाहर प्रतिबिंबित नहीं करेगा
on weindos opthe nek of or operating sistimmarus,"on windows or unix, what operating system you are using.",एक फ़ंक्शन के अंदर यह doso नहीं होगा
sofo larg data we arfouse to del with iyis which reside on the dis,"so, for large data we are forced to deal with files which reside on the disk.",तेल के साथ एक फ़ंक्शन एक सूची ले और मूल्य में जोड़ें
s what we have to do is diside in ad vance whither we avoe de rede from a y,"so, what we have to do is decide in advance whether we are going to read from a file or",खोला गया वास्तव में विज्ञापन are Vale ने दोनों सूची और सूची को ट्वेल के साथ नई सूची में सूचीबद्ध किया
so we have to reedealargh valum of datawhich is aleredy ritin on fting that d,"so, we have to read a large volume of data which is already written on a file in the",तो noprifidtak स्थिति t जो इस स्थिति है और इसे तब मान से बदल दें
append wil douse it it ould take afite wih ordeidy exist and ad the osto,what append will do is it will take a file which already exists and add the new stuff,sooted काला परिशिष्ट एक एकल मूल्य लेता है
ist and the ot wut we compute is to pickaly ritan back into another ylon the distt,disk and the output we compute is typically return back into another file on the disk.,o पेशाब करना चाहते हैं [unk] y पाँच बात हम चाहते हैं कि इसे और अधिक वैल की कोशिश करें
the  ame con e s,the name contents.,बेशक हम इनमें से प्रत्येक मूल्यों को खर्च कर सकते हैं
o contente is no asined the eintiare  data which is in the fyal handle ponted to y efat,"so, contents is now assigned the entire data which is in the file handle pointed by fh",अब यह एक सूची में विज्ञापन तत्व के लिए है बाल भी एक तत्व को हटाने का एक तरीका है
now we can also consume a fin so we ar tepbliecly deling wit tekst fils,"now, we can also consume a file, we are typically dealing with text files.",एक सूची
that retern is then consmited by input as a strin to the name that yov asind bu,the return is then transmitted by input as a string to the name that you assigned to,eobect हमारे पास वह सूची t भी वही Vale e tr sernses है
red lin is like that but the diffence betwen eurede lin and inout is that w,"so, readline is like that, but the difference between the readline and input is that, when",owthaisa listado remay reay f no r r r to fitrmmember पहली प्रति की प्रतियां
o  do to remembere that yu have this egtrac caretr flotng at th en,"so, you have to remember that you have the extra character floating around at the end",Wich उसकी शुरुआत एक दूसरी प्रति में है जो देर हो चुकी है इसलिए यह विल निकालता है
of for has a fiktt numberf reeatiations onthe other hand a wyld luou bistipic,"so for loop has a fixed number of repetitions. on the other hand, a while loop is typically",तो यह या they elett etuck पर fles को Sictock पर सूचीबद्ध करता है कि क्या कोई साइट प्रश्न है
o to the larger of an em and in on scan compute list efm and em,1 to the larger of m and n and in one scan compute list fm and fn.,अब क्या efensvl av हटा दिया गया था तीसरी बार अब l एक rr sying eks में नहीं है
do it agan so if yo are not changh  something which mayg a condition als yowl nevr,do it again. if you have not changed something which makes the condition false you will never,एक तीर
in oure prits example in order to make the condition fals we nede y to be coms,"in our previous example, in order to make the condition false we need to i to become",Theris कोई Matpeaino Sttoi Syso हम तब TI को संस्कार कर सकते हैं
have a danoras cind of behavior cled an infinit o whr the compidration gust e,have a dangerous kind of behavior called an infinite loop where the computation just keeps,एनर कोमा तो एक बल्ब कैट को चुनने के लिए y ne
in other words for eachy in thist list on to the makimm of ma m we first tha i,in another words for each i in this list 1 to the maximum of m and n we first check if,इन पुरुषों के लिए हेल्टर एक अच्छी खबर होगी ताकि यह घाटी और यह कि यह ymedime में कर सकता है
in this lecture what we have seen is that we can start with a very ne idea we,so in this lecture what we have seen is that we can start with a very naive idea which,हमारे पास इस उद्देश्य की गणना करने के लिए आदेश और मान इकाई हो सकती है
ach mor o les implement the function as it is defined and woerk a wais to tremadiccl,more or less implements the function as it is defined and work our ways to dramatically,जब हम कर रहे हैं तो हम क्या कर रहे हैं जब हम एक विज्ञापन के रूप में गणना करते हैं तो हम r computei rsapousing
will roune thro al thes valgus any way because we skan opthese numbbers in order dto fine,will run through all these values anyway because we scan all these numbers in order to find,longthis comnt subere हम मानते हैं कि makmuon ने ero और evere समय वेस पहना था
wecan actually comup witha romaticaly diffrent way to prut den s,"we can actually come up with a dramatically different way to compute gcd, which will be",ARIS वास्तव में अनंत अब क्या असीम रूप से है जिसे आप अनंत ले सकते हैं ताकि wecan
inad if so be ad to the list in so instedof dou to seprte skans over one puoim and the,n and if so we add it to list fn. instead of doing two separate scans over 1 to m and,इंगल ने मुकदमा करने का एक तरीका जस्ट किया कि हम डॉ।
edeash,new ideas.,उस में calitpars
sas that we want o con ditions to be  we want the reminder when m is divide in ipe,"says that we want two conditions to be proved, we want the remainder when m is divided by",बाहर मैं मैटर नहीं करता है हम कई गुना हो जाते हैं और फिर आप या पहले आरटी खाते हैं
e ho in outewrs iddivides  and we alo at the remindeof an end is dievie,"i to be 0, in another words i divides m and we also want the remainder when n is divided",बू पाइन मुझे पता था
each tine we can start with the o an each tine we find a larir coman factor we can discore the,each time we can start with 1 and each time we find a larger common factor we can discard,इसलिए हमने देखा कि और एनोर विल ने ड्रेकोस की खुजली दूरी के लिए आनुपातिक समय लिया है
opdating this name with the value of the comin fatore f we saow last,updating this name with the value of the common factor that we saw last.,उदाहरण अल Thexaples में हम इससे पहले हल करते हैं अगर हम ar c थे
diretly scan al the possibl comind factors from o to the mineom of a when ever,directly scan all the possible common factors from 1 to the minimum of m and n. whenever,और s dothe mattea w iswustyi [unk] rsso tenst rst
one is a comnfactor we wil atlee tarremars f we culd do n but if wf,"since one is the common factor we will at least have mrcf equal to 1, but if we find",डी सिंह लाइन्स एक inr को ondred teon सौ कदम yd gust क्लैप्स इस ro पर मिलता है
of factors in boult list ore comen factors and our go ist to rietrn the gratest m,of factors in both lists or common factors. our goal is to return the greatest common,ITSO हम canat bestt o maitres atatim हम केवल अब हम इसे सुनिश्चित करते हैं
is for itteration or lu what we enderwith is the largeist comin factor tht w,this for iteration or loop what we end up with is the largest common factor that we,"उत्तर जो सिम्स है, इसलिए अंतिम enry में हमारे पास Brdo m we ave है"
e fownd bettwen on andher limor ograam which is inded the gad of mas,found between 1 and the minimum of m and n which is indeed the gcd of m and n.,जिसमें इस चश्मे को डी करने के लिए ताकि हम बो में संचालन को अनुकूलित करें
we can stil do some ferther optimiations since we are loing for the latest comin fact,"we can still do some further optimizations. since, we are looking for the largest common",बात यह है
wecan start at the en of the list and work back wuords so tisio o runing from o tou the,we can start at the end of the list and work backwards. instead of running from 1 to the,अब हम होमाईस गॉन बीकोले और इसके लिए हमें प्रारंभकर्ता को पुन: जोड़ना होगा
the gariny is that o wil alwaise o o as a co man  fac t ors if there are no o,"the guarantee is that the 1 will always show up as a common factor, so if there are no","यह तब तक है जब तक कि क्यूग, और yylltle स्पिंट्यूवेंट को क्यूर्ट को फ्यूबेट्स को कॉनिंग करने के लिए"
he coman factors at the very end we wil find on asegrata t comnd,other common factors at the very end we will find 1 as the greatest common factor.,ongmat टैंड ई तुरंत इंटिसो करते हैं
are wrcing backwordsfrom largest to smoleist the very first cormin factor we ind must,we are working backwards from largest to smallest the very first common factor we find must,onsup provms तो हम सबसे लंबे समय तक comn बाद में गीला करते हैं पोर्टोंड हम ou sup provr हैं
we actualy get in to orml ython let us explor a neuw way of boing throu a list of vaes,"when we actually get into formal python, let us explore a new way of going through a list",Gaim के लिए हमें यह जानने का कोई ई नहीं है कि इनमें से कौन से मामले इतने अगान हैं कि हम उनमें से आज़ देते
and weimplicitlyegeit frome this function everey time wi se a retern steatement in ao,found and we implicitly exit from this function. every time you see a return statement in a,Coas o maotiting mnt nay के kay बस mca plos एक टी के गठन का कारण
yy minas o take the corent vavu of vais opprat o and repclacs it and ni the mathomadi,"i to i minus 1, take the current value of i, subtract 1 and replace it in i. the mathematical",बाकी को आंशिक रूप से सोते हुए परिणाम यह एच का वर्णन करने का एक बहुत ही आकर्षक तरीका है
lye qality is arton as dobvil ekualto this is whet we use nn,equality is written as double equal too this is what we use in our conditions.,Tabl यहाँ हमारे पास एक तलबल है जो कुछ क्रम में है
any other programing in wites mans a sin a value a value so this is the fina,"many other programming languages means assign a value to a variable. so, this is the final",वह फ़ंक्शन में आधार केस में हम वापस आ जाएंगे कि मैं ओ का है इसलिए हम शुरू करते हैं
wel at  each bron what are we dowing we are inserting a new value  to a sorted segment,"well, at each round, what are we doing, we are inserting a new value into a sorted segment","तालिका में यह पहला मान है जो हम वास्तविक outeed odos हैं, हमने ASU नहीं किया"
nt kay,of length k.,"हम गले में हैं कि tay में हम एक kaye u e boufka पर नहीं है, हम सह नहीं हैं"
sequence of theino n we insert af alue intuthat  asortedsuonerning,"of sequence of length one, we insert a value into that we get a sorted sequence of length",o feb के लिए और अब हम o agimn al h की iip की गणना करने के लिए id ass es में नीचे उतरते हैं
ht ns had ssot,n square sort.,यह ओटी हमें एक weou ले जाता है क्योंकि यह थोड़ा मामला है जिसे हम वास्तव में विस्फोट नहीं करते हैं
o sepose we do t the othery seuppose we take a list wih is alrldredy sorted an,"so, suppose we do it the other way, suppose we take a list which is already sorted, and","उसके पास है और इसलिए हम इसे ऊपर उठाते हैं, हम एक ओडिंस को इस तथ्य के बारे में बताते हैं कि वें"
ow we as it to sot then it wos back instant,"now we ask it to sort, then it comes back instantly.","मान ओआईएस वास्तव में पुन: व्यवस्थित नहीं है, लेकिन एक डब्ल्यू से एक डब्ल्यू से टैब में लॉक किया गया है"
can idea be bigere than the we sove wit,it can either be bigger than the two we saw before.,nw ifwdnothiu अब हम वापस जाने के लिए वह winotti या एक यह हमें संकलित करने के लिए गधा
so each insert step taks only one itratio,"so, each insert step takes only one iteration.",दूसरी छमाही समस्याओं की समस्याएं onecan की ar ar
it des not have to go tho anything beyond the first element in order to storp the inset,it does not have to go through anything beyond the first element in order to stop the insert,o हम सोपोटी के अंत में हैं कि अगर ry मान हमने गणना की
a,step.,"जब आप एक नंबर प्राप्त करते हैं, तो फिउ वनोटी क्या कहते हैं कि आप एक नंबर की कोशिश करते हैं"
actualy if we tak even a larghe value lekt en thouson or even hurnded thouson the shued bu the insertio,"so, actually if we take even a large value like 10,000 or even 100000 this should work.",अन्य है हम ओ बचाव प्रतियोगिताओं को थ्रो करते हैं यह सामान्य प्रतियोगिता है जो मा को पकड़ती है
insot when yo aldrerdy have a sorted list wl be quit mst becaus the inser,insertion sort when you already have a sorted list will be quite fast because the insert,acareccor f ol ad dieventual com up wth एक नया मूल्य जो वह मूल्य या इस पार्टिकुल है
in a sequence and with no priare noligh aout what the sequence loks like it w,in a sequence and with no prior knowledge about what the sequence looks like it will,संस्करण और ई सूची नहीं क्योंकि तर्क किसी भी विशेष vuls o हो सकते हैं
so what we do is we sstand from top  to bottom and so long ais it smolere than the paper,"so, what we do is we scan from top to bottom and so longer if it is smaller than the paper",o हम मूल रूप से तर्क के पार्टिकुला कॉमेनेशन के लिए देखते हैं कि हम देखते हैं कि क्या एक टैक हेमनेशन
stack we ade bein digd,stack we are building.,S का शब्दकोश n में है इसलिए हम इसे lk करते हैं और मैं अन्य Wis की गणना करता हूं
so what we do with this same list that we had for s election sot is we wold pic,"so, what we do with this same list that we had for selection sort is we will pick up",इस संयोजन के लिए एक nue मान इसे संग्रहीत करता है और फिर लौटता है कि हमारे पास BLOST O है
[UNK] yn is biger than bout so y ceap r on top f the stack at the yttn fif[UNK]yve a hav,"now 89 is bigger than both, so i keep it on top of the stack at the right end; 55, i have",इस मामले के लिए सबसे अच्छा मामला हम नफरत करते हैं कि इसका मतलब है कि हमेशा कुछ हमें कुछ है
ninso gouss the left of   then y loc at   smle than  ecousess,"so, it goes to the left of 89 then i look at 74 it is smaller than 74 it goes to the",BATCS मान जिसके लिए कोई और मान NEDNO को कम्प्यूटेड es मान arttematicl होना चाहिए
he le of that s,left of that.,Ave का अनुसरण करने के लिए inductie संरचना yocan सीधे sloan tel my जो अल हैं
f i,55,t तो हम एक नीचे शुरू कर सकते हैं और फिर हमारे selsup काम कर सकते हैं हम कह सकते हैं
we start buildin a sort sorted seuence wth one elementt oup the nekt on sorted element,we start building a sort sorted sequence with one element pick up the next unsorted element,"o यहां तक कि y से इसमें जाओ और e से नीचे ckomling नहीं, हम gust dyerectly ta को दाखिल करते हैं"
and inserted in buouccarect bas n to the orderdly sorted seqence,and insert it in to a correct place into the already sorted sequence.,o Ingeneral wen हमारे पास ऐसी आगमनात्मक परिभाषाएँ हैं जो हम पहले करते हैं
and there is some positions so that p to this pointt everething as sorted,"1 and there are some positions, so that up to this point everything is sorted.","o इसलिए हमने हम Ave और f rs की गणना करते हैं, हम Amind को ANR की गणना कर सकते हैं"
n at each time we lok at the valueat so actual,"and at each time, we look at the value at.",एक iy कैनो मेरे लिए तम्बू फुउ बेनौही नंबर के लिए पूछें
the slicses arp toslicse and miner spond,actually the slice is up to sliceend minus 1 sorry.,Da vy ecerion द्वारा थीमनीबल में आप ffil themup iteretededly witthe onc शुरू करते हैं
we louck at the  valu e mediately after that which eein be the position cornsliteion and,we look at the value immediately after that which will be in the position called sliceend,उन चीजों की कारखाने की गणना करने के लिए जिन चीजों की हमें एन मीनार के फैक्टरियल की गणना करने की आवश्यकता है
no fwe ekchangeit that means that this value ais not gon her,"now if you have exchanged it that means, that this value has now gone here.",राज्य सिर्फ इड्मानसोन im के मानों में से कुछ होने के लिए मूल्य लेगा
so nw we again iacompperit to the previuse vlue an if it is molere we ekeaingi,"now, we again a compare it to the previous value, and if it is smaller we exchange it.",जिसे हम इस विशेष क्रम में जा रहे हैं
agan this means that itwis one mnore positinso,"so, again this means that it goes one more position.",हम कहते हैं कि एक आदमी अयस्क tavalhs coaldean imoiation है और हम alweays alweays the tabal befor b
now we pic the secande paper from the ould stack and we lok at it s mark as compped,now we pick the second paper from the old stack and we look at its marks as compared,इसी तरह से धूम्रपान करने के लिए जैसे कि हम की जरूरत के लिए फ्लूटिस्ट को srt करने के लिए
o nothing happens so thr,so nothing happens.,Nintern हमें छंटनी करने की आवश्यकता है और इतने पर असीम पर
now we wil comppere fiyfyve i the valueto  sj lit n theris noe tchang so n,now we will compare 55 to the value to its left and there is no change.,वह pukounrtcy numbersa o और फिर आप एक pleus एक के रूप में एक [unk] os एक पर एक एक pleu
similerly we wouldtek [UNK]  then weil compperit to [UNK] nyn sins n[UNK] on is smole than,"similarly, we will take 21 right, and we will compare it to 89; since 21 is smaller than",ussest वह पिछले को पसंद कर रहा है
than [UNK]y with hl sosens [UNK] o is smole than t[UNK]  do se but  the poulion,"than 55, it will swap; since 21 is smaller than 32, it will swap, but now the position",मैडिसो Addd परीक्षण और इस वीडियो को लौटाएं ताकि यहां डक्ट परिभाषा में एक क्लर का मामला है
stop and nw the postition is e,sorry will swap and now the position is 0.,Umon arh के संकलन को पूरा कर सकते हैं हम proug n othe शब्दों पर मूल्य प्राप्त कर सकते हैं
n it s leyft i,its left right.,"o अब हम वापस आ गए हैं, n weae की uni ने Narof के बाईं ओर की गणना की है"
inganl betn gou sg n so wen this lits   then this foroe twu,"so, in this way, we will keep going until it will be 0, 0, 99. so, when this hits 99,","o हमने कंप्यूटर rte sie के लिए बनाया है और नहीं, क्या होता है कि हम o havin करने के लिए"
leictsit and we goto whatsw elit d as  go  wonsd ontto se od on se u,"then this for loop will exit and we go to 1. so, i will get 0, 1, 0, and to 0, 1, 90,",और पीविन [ठीक] तो हम सोनो के साथ डॉन है हम इवेना ओटीआई करना चाहते हैं
python python  the out put of nap is not a list so you ned to use,"between python 3 and python 2, the output of map is not a list. so, you need to use",कि हम ordady की गणना की गई है
thisis or distrtia n letus do the pyptpe forintripl so wesre wyo d nt wyl syd  a ekin rane and vit,"now, let us do the pythagorean triple one. we said, we want x, y, z, for x in range 100,",Downalthe रास्ता P और अंततः हम y wil of couse के t को जीतते हैं
afutinod acomnd par ticuler you should se in the erlese datersn werwich a femilire with i,"come. in particular, you should see in the early stages somewhere, things which we are",प्रविष्टि प्रकार की तुलना में कुशल कुशल चयन क्रम की तरह और हमने यह दावा किया कि यह ओपराट है
o s  db o fyt pryts we sa  otpytsn so  fotyt but yo wil also sy lat,"you see 3, 4, 5. so, we saw 3, 4, 5, somewhere - so 3, 4, 5. but, you will also see, later",td en और to to to to so to so so स्पष्ट रूप से se grose to se grose के साथ एक तत्व के साथ चलो
o here is ar erly ae definition of ptos that we havd exraredence atd on conc,"here is our earlier definition of pythagoras, where we had x, y, and z unconstrained. so,",पुराने मूल्यों को जारी रखें जब Reccercif Colis इस iris को एक निश्चित राशि दान करें
niporotsid you onlye get ne copy upinsdece we culd suse hr fo ve but,"is less than equal to z; you only get one copy of things like 3, 4, 5. so, you see 3,",टिसिस केवल एक खदान एक कॉमिन लेकिन गर्भाधान ओ mrcutout माँ इन्सॉर्ट में मूल आदेश है
o here is an intialisation it seys  conseis,"so on. here is an initialization, which says, l consists",अर्न एक इटिस अब फॉल का उपयोग करता है क्योंकि यह पट्टियाँ कई अन्य चीजों में ओ हैं
n then we copy this list potimns then the us wesave te actual eantorec l,"and then, we copy this list 4 times, in the four rows. we say that the actual matrix l",हे
s focorysof roist  we go in changhe one enttery say we change enrly o in,"has 4 copies of zerolist. now, we go and change one entry; say, we change entry 1 in row 1.",s का mla भेजा जाता है कि हम प्रत्येक और समय में क्या करते हैं
ont use it t the list you must us the list function tonmvertit and this,"want to use it as a list, you must use the list function to convert it. and, this is",Comppareson और फिर हम एक ainement करते हैं और हम sme dicesese so thi impremnt
o egpect is the ouwput uls,expect is the output of this.,हम कह सकते हैं कि एक फ़ंक्शन के रूप में मर्च मेरे और मैकिन के ऑर्डर के स्टिन लेता है और
there we have the sinlder list and then we say l list fwo copis of sevror listtokgein ain,"there we have the zero lists, and then, we say, l is 4 copies of zerolists, for j in",n ilements कई बार एक tackin d सूचियों में m की सूची है यह merkhi compounet है
to someris map and fuittor andtnhe insult from ens to maniclating,"to summarize, map and filter are very useful functions to manipulating lists, and python",हम सबसे अच्छे मामले के साथ शुरू करते हैं यदि हमारे पास एस की सूची है तो हमारे पास कुछ भी नहीं है
of a list conutionis to ctorectly initillie  heot a functon ar raat amtn s,for list comprehension is to correctly initialize 2 dimensional or multi dimensional lists to,इसलिए हम डी टाइम टी को स्क्वायर के रूप में लिखते हैं और हम इस एफओ को डॉव स्क्वायर के रूप में लिखते हैं।
the can be used in for functions dd but if you want to use them as list in mari,"they can be used in for functions but if you want to use them as lists, and manipulate",इसलिए हम टी timsy emn biye के लिए विस्तार करते हैं कि il हमें tu द्वारा nother en देता है
the list of printly ont is empty and now we run throu the number list and for each numb,"list of primes we want is empty, and we run through the number list, and for each number",एस के लिए मेर्टन का विश्लेषण करने के लिए पहली चीज जो हमें करने की ज़रूरत है वह है ले एनालिसिस
cpor it wleais destartedh,"if it is false, it gets discarded.","और फिर हम एक p [unk] पर FOM की सूची को बुद्धि देते हैं, तो यह कैसे है"
that can be don using the comenation not fftorand then  so etor first gives us,"that can be done using a combination of filter, and then, map. filter, first gives us the",ट्यूलिस्ट के संघ को लेने के लिए Itcan का उपयोग करें और लाइसेंस के लिए लाइसेंस का उपयोग करें
y pytagoiis her in order hif e ia et other dens of the  sids on thyipotns respect,"x, y and z are the lengths of the two sides and the hypotenuse respectively, then, x square",यदि आप सूची diferenceto सूची करने के लिए गणित का उपयोग कर सकते हैं
